member_id,region,membership,age_band,visit_bucket
S001,north,standard,18-29,occasional
S002,north,standard,30-44,regular
S003,north,plus,45-59,regular
S004,north,plus,60+,frequent
S005,north,standard,18-29,frequent
S006,north,plus,30-44,occasional
S007,east,standard,18-29,regular
S008,east,plus,30-44,frequent
S009,east,standard,45-59,occasional
S010,east,plus,60+,regular
S011,east,standard,30-44,frequent
S012,east,plus,45-59,occasional
S013,south,plus,18-29,frequent
S014,south,standard,30-44,occasional
S015,south,plus,45-59,regular
S016,south,standard,60+,regular
S017,south,plus,18-29,occasional
S018,south,standard,45-59,frequent
S019,west,standard,18-29,occasional
S020,west,plus,30-44,regular
S021,west,standard,45-59,frequent
S022,west,plus,60+,occasional
S023,west,standard,60+,regular
S024,west,plus,30-44,frequent
